timepoint,coral_id,species,weight_g,temp_c,calibration,air_temp_c,air_weight_g,fresh_tmp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,,,,
postwound,52,acr,5.796,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,42,acr,5.352,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,45,acr,5.372,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,49,acr,4.714,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,43,acr,5.115,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,50,acr,6.369,23.6,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,46,acr,5.007,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,55,acr,6.2,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,58,acr,5.535,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,47,acr,5.225,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,54,acr,6.481,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,44,acr,5.699,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,55,por,14.173,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,51,por,18.314,22.9,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,47,por,11.026,22.9,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,43,por,16.965,22.9,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,46,por,18.411,22.9,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,52,por,19.496,22.9,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,50,por,17.801,22.7,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,57,por,13.232,22.7,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,45,por,13.86,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,42,por,18.438,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,44,por,29.141,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,41,por,12.056,22.8,2,22.3,47.268,20.8,26.181,22.8,25.591,34.4,2.93,,,,
postwound,48,por,20.383,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,58,por,14.509,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,54,por,12.714,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,53,por,17.194,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,56,por,14.728,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,49,por,13.372,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,56,acr,4.745,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,41,acr,5.203,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,57,acr,4.761,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,48,acr,6.499,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,51,acr,5.154,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,
postwound,53,acr,4.742,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93,,,,