timepoint,coral_id,weight_g,species,temp_c,calibration,air_temp_c,air_weight_g,fresh_tmp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,,,,
final,50,6.683,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,45,5.732,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,43,5.453,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,52,6.244,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,46,5.406,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,53,5.106,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,57,5.067,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,47,5.559,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,51,5.721,acr,26.2,1,24.7,47.343,24.9,26.174,26.2,25.608,31.6,2.93,,,,
final,54,7.126,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,58,6.031,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,44,6.133,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,56,5.09,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,55,6.609,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,49,5.093,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,48,7.2,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,41,5.544,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,42,5.777,acr,54.3,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,46,18.756,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,48,20.821,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,58,14.821,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,43,17.211,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,47,11.326,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,44,29.626,por,24.9,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,52,20.031,por,24.8,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,51,18.562,por,24.8,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,54,13.227,por,24.8,2,21.8,47.037,23.6,26.18,25.3,25.595,31,2.93,,,,
final,45,14.555,por,24.6,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,42,19.122,por,24.6,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,49,14.048,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,56,15.34,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,50,18.239,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,57,13.547,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,53,17.592,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,41,12.395,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,
final,55,20.447,por,24.7,2,21.8,47.037,23.6,26.18,25.3,25.595,32.1,2.93,,,,