Taxa,Coral Number,Pre-Wax Weight (g),Post-Wax Weight (g)
Acropora,51,11.2855,11.8792
Acropora,50,12.3973,13.0542
Acropora,52,11.8888,12.4426
Acropora,43,10.6146,11.0578
Acropora,53,10.1514,10.5493
Acropora,47,10.705,11.1888
Acropora,55,13.2624,14.0527
Acropora,54,14.4226,15.4131
Acropora,46,10.7249,11.285
Acropora,48,14.5201,15.5819
Acropora,41,11.1238,11.7457
Acropora,56,10.1474,10.6299
Acropora,44,12.033,12.7119
Acropora,58,11.3894,12.0254
Acropora,57,10.0976,10.4663
Acropora,49,10.3394,10.7708
Acropora,42,11.3591,11.8425
Acropora,45,11.3824,12.0006
Porites,58,26.2863,27.0765
Porites,50,31.104,31.9943
Porites,46,31.9678,32.8113
Porites,52,34.111,34.9662
Porites,53,29.1711,30.2428
Porites,55,34.4374,35.6355
Porites,43,29.2329,30.0162
Porites,51,32.7243,33.6647
Porites,48,34.5305,35.5612
Porites,57,22.9648,23.7537
Porites,45,25.0109,25.6192
Porites,56,26.8262,27.5046
Porites,47,19.3674,19.9114
Porites,44,49.6349,51.196
Porites,41,21.5876,22.0943
Porites,42,32.1173,33.0321
Porites,49,24.3852,25.0301
Porites,54,22.5457,23.1528