species,genus,coral_id,treatment,treatment_label,timepoint,days_post_wound,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr
Porites spp.,por,41,2,Large Wound,Pre-wound,-1,0.9994304783857942,0.9992124667722104,18.3888614264487,-0.3690498554977542,-0.24666430066211523
Porites spp.,por,42,2,Large Wound,Pre-wound,-1,0.9908669322256118,0.9935145191493387,14.6469039753722,-0.40788144885263833,0.1428757278869461
Porites spp.,por,43,1,Small Wound,Pre-wound,-1,0.9664456121627976,0.8277562472444274,13.5607906935436,-0.3564450265554141,NA
Porites spp.,por,44,0,Control,Pre-wound,-1,0.9813665019512626,0.9450739508617348,19.9288727962057,-0.37054225642129746,0.06731725060362326
Porites spp.,por,46,2,Large Wound,Pre-wound,-1,0.9991072314496618,0.9984063744626608,16.719164888712,-0.4615554679370005,-0.19194278746553037
Porites spp.,por,47,1,Small Wound,Pre-wound,-1,0.990543125923565,0.9942228405824808,14.6577110727039,-0.2838816867014436,0.13912089351155127
Porites spp.,por,48,0,Control,Pre-wound,-1,0.9636890298246348,0.9983265439260484,30.2739667169072,-0.2346702990558523,-0.13155232570708597
Porites spp.,por,49,0,Control,Pre-wound,-1,0.9930478928819384,0.974945104374864,13.2419813222605,-0.49393729022839594,0.0826136906171066
Porites spp.,por,51,1,Small Wound,Pre-wound,-1,0.9715781299874008,0.9983274138318486,17.6269610645688,-0.4876169647742062,-0.3050219143938154
Porites spp.,por,52,2,Large Wound,Pre-wound,-1,0.9906945993733396,0.9969274930427972,16.5489531057389,-0.46670478156620054,0.1823912800459103
Porites spp.,por,53,0,Control,Pre-wound,-1,0.9607416354251144,0.996116182112062,12.3368869207366,-0.6440802363967161,-0.3622996137242774
Porites spp.,por,54,0,Control,Pre-wound,-1,0.9675915188640546,0.9980393865257032,28.3476016175445,-0.20706573804805645,-0.12554886965353784
Porites spp.,por,55,1,Small Wound,Pre-wound,-1,0.9286178525656834,0.9953727390769008,22.9386494030643,-0.24090113050565864,-0.08464873684774553
Porites spp.,por,57,1,Small Wound,Pre-wound,-1,0.9420319832462865,0.9941581732044448,11.5479688155277,-0.4623411195764494,-0.17529848703641882
Porites spp.,por,58,2,Large Wound,Pre-wound,-1,0.9913944069141042,0.9925988002204316,18.7698116073885,-0.32467022577827187,0.11717442667730577
Porites spp.,por,41,2,Large Wound,Day 1,1,0.999079293806847,0.99340255358187,18.3888614264487,-0.2079596462704076,-0.2035927045023176
Porites spp.,por,42,2,Large Wound,Day 1,1,0.9973316714451704,0.9918467543669796,11.630975027926,-0.6848245088106024,-0.16819174020654193
Porites spp.,por,43,1,Small Wound,Day 1,1,0.999675992732074,0.9990829090320252,10.5448617460974,-0.7054999989734757,-0.3389755511947311
Porites spp.,por,44,0,Control,Day 1,1,0.999389343563762,0.998050600837572,16.9129438487595,-0.6304663212891416,-0.34330371798367043
Porites spp.,por,45,2,Large Wound,Day 1,1,0.9994140095658528,0.9992349661367076,15.2729668286849,-0.49233511581583694,-0.22394907585398435
Porites spp.,por,46,2,Large Wound,Day 1,1,0.9995711704496412,0.999593471457401,13.7032359412658,-0.6142832718833253,-0.3557808399556571
Porites spp.,por,47,1,Small Wound,Day 1,1,0.999132919662523,0.9987471559096752,11.6417821252577,-0.47801342413551434,-0.2448667821265907
Porites spp.,por,48,0,Control,Day 1,1,0.9996964339381912,0.9987912102312246,30.2739667169072,-0.3162697489790045,-0.14486706448747858
Porites spp.,por,50,1,Small Wound,Day 1,1,0.9983430138434088,0.9972248218551673,16.31855349552,-0.5932235852123293,-0.1889706124628204
Porites spp.,por,51,1,Small Wound,Day 1,1,0.9995863447952724,0.9941144179826976,17.6269610645688,-0.463868450480582,-0.1481552092481217
Porites spp.,por,52,2,Large Wound,Day 1,1,0.9995098545054018,0.9936466691485636,13.533024158292699,-0.8137385041307765,-0.24386824416122105
Porites spp.,por,53,0,Control,Day 1,1,0.9983785221482162,0.9795679998289156,12.3368869207366,-0.4717236930682843,-0.21253204766571207
Porites spp.,por,54,0,Control,Day 1,1,0.9984140362439254,0.9915188456099714,25.3316726700983,-0.166853601723922,-0.17229853935594927
Porites spp.,por,55,1,Small Wound,Day 1,1,0.9947854848997044,0.9098045269659828,19.9227204556181,-0.4169239334887622,-0.02493371394413512
Porites spp.,por,56,0,Control,Day 1,1,0.9953732180544334,0.9692740215172696,14.6225880063761,-0.6183969911559942,-0.061599857065832
Porites spp.,por,57,1,Small Wound,Day 1,1,0.9982247581459648,0.989264287713958,11.5479688155277,-0.6454100621580379,-0.12545565207801954
Porites spp.,por,58,2,Large Wound,Day 1,1,0.9992556995666249,0.992838543007673,15.7538826599423,-0.30088522495116016,-0.28559692468443204
Porites spp.,por,41,2,Large Wound,Day 7,7,0.9940948432323902,0.9878020817440972,18.3888614264487,-0.20147684350721945,-0.08262506447694701
Porites spp.,por,42,2,Large Wound,Day 7,7,0.9919491128776504,0.9666105580205048,11.630975027926,-0.3080869800108122,0.0737740092719547
Porites spp.,por,44,0,Control,Day 7,7,0.9831406223354549,0.7373317897403537,16.9129438487595,-0.414489968334556,NA
Porites spp.,por,45,2,Large Wound,Day 7,7,0.9945154348935068,0.9299761469774878,15.2729668286849,-0.36797099419117607,-0.05530126301748548
Porites spp.,por,46,2,Large Wound,Day 7,7,0.9977840503778216,0.9978447342567096,13.7032359412658,-0.5019800339520628,-0.26443657551151034
Porites spp.,por,47,1,Small Wound,Day 7,7,0.9844237248554316,0.9785825546600646,11.6417821252577,-0.2571605602464772,0.10461973469741676
Porites spp.,por,48,0,Control,Day 7,7,0.9853177817967148,0.982340704454156,30.2739667169072,-0.14039145891366542,0.04158036370989811
Porites spp.,por,49,0,Control,Day 7,7,0.9819279496416512,0.3822697272455755,10.2260523748143,-0.3853328221008764,NA
Porites spp.,por,50,1,Small Wound,Day 7,7,0.9706221717902672,0.986101101717673,16.31855349552,-0.2940176341586583,0.11630727652992988
Porites spp.,por,51,1,Small Wound,Day 7,7,0.9900871272435672,0.9344294547785666,17.6269610645688,-0.37091494578873446,-0.03819935685255894
Porites spp.,por,52,2,Large Wound,Day 7,7,0.9903380059354882,0.9751314175089246,13.533024158292699,-0.44090869411040023,-0.11939961161285652
Porites spp.,por,53,0,Control,Day 7,7,0.9867836792019328,0.5440954591008845,12.3368869207366,-0.512332682647266,NA
Porites spp.,por,54,0,Control,Day 7,7,0.9333964458893398,0.17194761437872952,25.3316726700983,-1.8635499156372688,NA
Porites spp.,por,55,1,Small Wound,Day 7,7,0.957680280387113,0.9966022701231584,19.9227204556181,-0.21265415824791745,0.17120053405307106
Porites spp.,por,56,0,Control,Day 7,7,0.9875013188577438,0.9640357227618036,14.6225880063761,-0.48156399107652,0.09102248347598944
Porites spp.,por,57,1,Small Wound,Day 7,7,0.9825687490671554,0.9912258336974672,11.5479688155277,-0.21354399820856007,0.1350667655118803
Porites spp.,por,58,2,Large Wound,Day 7,7,0.9737855106779926,0.9688253197109786,15.7538826599423,-0.29927269030789,0.06796226296913531
Porites spp.,por,41,2,Large Wound,Day 23,23,0.9983648261951064,0.9947366483262274,18.3888614264487,-0.2659766084811223,-0.13570039827981012
Porites spp.,por,42,2,Large Wound,Day 23,23,0.998522550325049,0.9322204631423756,11.630975027926,-0.6740535371637248,-0.07685657568408406
Porites spp.,por,43,1,Small Wound,Day 23,23,0.979915735336502,0.12681960899204103,10.5448617460974,-0.26258020895707523,NA
Porites spp.,por,44,0,Control,Day 23,23,0.9418481264877806,0.7501302210429271,16.9129438487595,-0.3688151066462331,NA
Porites spp.,por,45,2,Large Wound,Day 23,23,0.9990577684492572,0.6154361819642608,15.2729668286849,-0.47691119493467343,NA
Porites spp.,por,46,2,Large Wound,Day 23,23,0.9937077608018816,0.5983390054956476,13.7032359412658,-0.6408162862882274,NA
Porites spp.,por,47,1,Small Wound,Day 23,23,0.9811425911279504,0.8172018862330441,11.6417821252577,-0.2329925476585228,NA
Porites spp.,por,48,0,Control,Day 23,23,0.9928562547527114,0.2280959783292328,30.2739667169072,-0.3048331635563453,NA
Porites spp.,por,49,0,Control,Day 23,23,0.9937558982387142,0.9835875121372748,10.2260523748143,-0.431953730870397,0.11483855265791268
Porites spp.,por,50,1,Small Wound,Day 23,23,0.9889840810110836,0.9866234011702568,16.31855349552,-0.3414855973403523,0.15592963345062755
Porites spp.,por,51,1,Small Wound,Day 23,23,0.9382782258516762,0.8509830220989715,17.6269610645688,-0.21096496837031709,0.11945978137003586
Porites spp.,por,52,2,Large Wound,Day 23,23,0.9737194559376752,0.14139774851323994,13.533024158292699,-0.36079571210107514,NA
Porites spp.,por,53,0,Control,Day 23,23,0.9948293853617596,0.250954153433513,12.3368869207366,-0.5847346332266772,NA
Porites spp.,por,54,0,Control,Day 23,23,0.9653385443431982,0.7999320017676671,25.3316726700983,-0.1244433109321078,NA
Porites spp.,por,55,1,Small Wound,Day 23,23,0.9973090931257184,0.8725038881186831,19.9227204556181,-0.34318790096426743,0.03556394702537719
Porites spp.,por,56,0,Control,Day 23,23,0.9933792522762482,0.279285076404293,14.6225880063761,-0.33632241521709816,NA
Porites spp.,por,57,1,Small Wound,Day 23,23,0.998613488758246,0.9464628789851948,11.5479688155277,-0.5778901351271856,0.078272814146198
Porites spp.,por,58,2,Large Wound,Day 23,23,0.9718566248563184,0.8707564216965302,15.7538826599423,-0.4499296645355197,0.2456071499809884
Acropora pulchra,acr,41,0,Control,Pre-wound,-1,0.8870348641079201,0.9055531818281234,18.3888614264487,0.1540400443262958,-0.02562674061786278
Acropora pulchra,acr,42,1,Small Wound,Pre-wound,-1,0.9991949156938654,0.9951323538032886,14.6469039753722,0.4080620098014263,-0.1945529046010705
Acropora pulchra,acr,44,2,Large Wound,Pre-wound,-1,0.9854589554851876,0.8096218232747061,19.9288727962057,3.450946530004872,0.45670418787088063
Acropora pulchra,acr,45,2,Large Wound,Pre-wound,-1,0.9967436469393872,0.9018546111159806,18.2888957761311,0.29788270052256677,0.02193372134144115
Acropora pulchra,acr,46,2,Large Wound,Pre-wound,-1,0.9966201516469698,0.9845128731836996,16.719164888712,0.2857860171683472,-0.06939373738694772
Acropora pulchra,acr,49,1,Small Wound,Pre-wound,-1,0.884899821144654,0.8922397991505058,13.2419813222605,0.18549730259115133,-0.0275512836440976
Acropora pulchra,acr,50,2,Large Wound,Pre-wound,-1,0.9981953328299824,0.995433979817699,19.3344824429662,0.4019832556133924,-0.11098955026698876
Acropora pulchra,acr,51,0,Control,Pre-wound,-1,0.9049818543035876,0.9694126504258652,17.6269610645688,0.18674593787807517,-0.03885510104009095
Acropora pulchra,acr,56,0,Control,Pre-wound,-1,0.9962547286370425,0.100951076469801,14.6225880063761,0.28312914726529076,0.00357871463810625
Acropora pulchra,acr,57,0,Control,Pre-wound,-1,0.9950600398335644,0.942038122466504,11.5479688155277,0.25022638318516144,0.0471397742624795
Acropora pulchra,acr,58,1,Small Wound,Pre-wound,-1,0.997617318278519,0.9573213111653124,18.7698116073885,0.2968038256157086,-0.034308667072052
Acropora pulchra,acr,41,0,Control,Day 1,1,0.992478963566504,0.9988285851411982,18.3888614264487,0.32605450749258336,-0.22847962154985585
Acropora pulchra,acr,42,1,Small Wound,Day 1,1,0.9766956853055644,0.998314860335102,14.3299039753722,0.36101355904984295,-0.17992175718890602
Acropora pulchra,acr,43,1,Small Wound,Day 1,1,0.9977629294198742,0.5829877849391524,13.2437906935436,0.2907181365731472,-0.01120651565255224
Acropora pulchra,acr,44,2,Large Wound,Day 1,1,0.9800736766679368,0.997507803845574,19.2948727962057,0.33544589139584957,-0.1771946083921195
Acropora pulchra,acr,46,2,Large Wound,Day 1,1,0.9989856410269056,0.996164390525806,16.085164888712,0.3024366801881976,-0.1042220186992435
Acropora pulchra,acr,50,2,Large Wound,Day 1,1,0.9967153223006032,0.7856341943426417,18.7004824429662,0.338603673278031,0.0147725029325435
Acropora pulchra,acr,51,0,Control,Day 1,1,0.9988011049578084,0.9975491793660336,17.6269610645688,0.3783270281090328,-0.17554186739841898
Acropora pulchra,acr,52,2,Large Wound,Day 1,1,0.9970421122927152,0.7659562318800123,15.9149531057389,0.3848704464362904,0.0196834609756404
Acropora pulchra,acr,53,0,Control,Day 1,1,0.999117438502438,0.9984285692670808,12.3368869207366,0.3948641945818098,-0.21786066235446355
Acropora pulchra,acr,54,1,Small Wound,Day 1,1,0.9901558306996872,0.9993873454402428,28.030601617544495,0.3105621460071383,-0.2027796570742673
Acropora pulchra,acr,55,2,Large Wound,Day 1,1,0.9724831374560706,0.9973872480581624,22.3046494030643,0.29706578607103706,-0.13012704693657992
Acropora pulchra,acr,56,0,Control,Day 1,1,0.9871852975450036,0.993905034913614,14.6225880063761,0.398066814854554,-0.20016634822967244
Acropora pulchra,acr,57,0,Control,Day 1,1,0.9980491286004656,0.9912782566741208,11.5479688155277,0.36816160964591127,-0.11819070171393682
Acropora pulchra,acr,58,1,Small Wound,Day 1,1,0.98764574576829,0.9953032163589686,18.4528116073885,0.31954349935305343,-0.1705355984406754
Acropora pulchra,acr,41,0,Control,Day 7,7,0.9729176922148878,0.8110213983404574,18.3888614264487,2.834689515546438,-0.7585784856434884
Acropora pulchra,acr,42,1,Small Wound,Day 7,7,0.9974236940575272,0.8820656927959655,14.3299039753722,0.2875563821082635,-0.03966518503149726
Acropora pulchra,acr,44,2,Large Wound,Day 7,7,0.9975382794521892,0.7673531531442166,19.2948727962057,0.2177145969944665,-0.01745400133136332
Acropora pulchra,acr,45,2,Large Wound,Day 7,7,0.970460360292131,0.45411175008596727,17.6548957761311,0.17327299792049108,0.00785998807394383
Acropora pulchra,acr,46,2,Large Wound,Day 7,7,0.9557755280043606,0.0605452318455553,16.085164888712,0.1872147883178365,0.00254475983603777
Acropora pulchra,acr,47,1,Small Wound,Day 7,7,0.9211997964876766,0.9888748619865556,14.3407110727039,0.11262025960017412,0.09093837835705108
Acropora pulchra,acr,48,0,Control,Day 7,7,0.9967231108088226,0.7459785285844522,30.2739667169072,0.230945875639748,0.01632880996979829
Acropora pulchra,acr,49,1,Small Wound,Day 7,7,0.9968809845518348,0.955396846723063,12.9249813222605,0.23206568819714005,-0.05313328057634164
Acropora pulchra,acr,50,2,Large Wound,Day 7,7,0.9366356720821908,0.9781514691477528,18.7004824429662,0.2284807913652083,0.08052018974222458
Acropora pulchra,acr,53,0,Control,Day 7,7,0.968685288158278,0.9351700430838132,12.3368869207366,0.1836989777968163,0.03947764465750062
Acropora pulchra,acr,54,1,Small Wound,Day 7,7,0.9982099669701636,0.9520925068718448,28.030601617544495,0.2368598991193692,-0.0431832582056887
Acropora pulchra,acr,55,2,Large Wound,Day 7,7,0.9985252383907378,0.9914213565756091,22.3046494030643,0.23972062381998469,-0.08990396092386774
Acropora pulchra,acr,56,0,Control,Day 7,7,0.9614573721058388,0.2384906641326824,14.6225880063761,3.9763593963074633,0.4218960805494657
Acropora pulchra,acr,57,0,Control,Day 7,7,0.927016926530257,0.9868884036165144,11.5479688155277,0.1698920339115302,0.11858460513348262
Acropora pulchra,acr,58,1,Small Wound,Day 7,7,0.9980769955279968,0.989532032201528,18.4528116073885,0.2094427116023178,-0.09048281432586278
Acropora pulchra,acr,41,0,Control,Day 23,23,0.8978367808589622,0.6554809666381922,18.3888614264487,0.19412437674440333,0.06582112145054683
Acropora pulchra,acr,43,1,Small Wound,Day 23,23,0.9414896100791826,0.8985256699691136,13.2437906935436,0.2045045272500741,0.0281808042311003
Acropora pulchra,acr,45,2,Large Wound,Day 23,23,0.8725250848819707,0.9944922712087636,17.6548957761311,0.18914140521377165,0.12818159892031403
Acropora pulchra,acr,46,2,Large Wound,Day 23,23,0.9010681311386294,0.9695077492465236,16.085164888712,0.19705988647988584,0.06233282090458234
Acropora pulchra,acr,47,1,Small Wound,Day 23,23,0.8635387904328151,0.9941463480991836,14.3407110727039,0.18228178730344868,0.15060412543911308
Acropora pulchra,acr,49,1,Small Wound,Day 23,23,0.9241209446785974,0.03590804611382603,12.9249813222605,0.25721674504558284,-0.00981029835760269
Acropora pulchra,acr,50,2,Large Wound,Day 23,23,0.9535303501227576,0.9435037556163852,18.7004824429662,0.2714061201928565,-0.04013250774010256
Acropora pulchra,acr,51,0,Control,Day 23,23,0.910605949119218,0.9857280675545572,17.6269610645688,0.22103938596304057,0.07383658139182189
Acropora pulchra,acr,52,2,Large Wound,Day 23,23,0.8536335404404246,0.9952461360985992,15.9149531057389,0.2279013932256553,0.17846535642399458
Acropora pulchra,acr,53,0,Control,Day 23,23,0.9617276884848328,0.9616836240523744,12.3368869207366,0.2884320664084538,-0.06220065039070747
Acropora pulchra,acr,57,0,Control,Day 23,23,0.8850504418066548,0.9926492039670778,11.5479688155277,0.21484327090740216,0.13153027534540246
