coral_id,species,weight_g,temp_c,calibration,air_temp_c,air_weight_g,fresh_tmp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite
43,acr,5.317,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
49,acr,4.84,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
56,acr,4.745,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
52,acr,5.876,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
45,acr,5.529,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
46,acr,5.107,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
41,acr,5.203,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
57,acr,4.761,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
48,acr,6.499,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
51,acr,5.154,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
55,acr,6.466,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
54,acr,6.563,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
58,acr,5.65,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
44,acr,5.901,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
42,acr,5.545,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
50,acr,6.488,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
53,acr,4.742,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
47,acr,5.3,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
57,por,13.268,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
52,por,19.91,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
48,por,20.383,23.7,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
44,por,29.141,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
43,por,17.031,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
58,por,14.509,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
45,por,14.018,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
46,por,18.72,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
55,por,20.22,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
54,por,12.714,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
41,por,12.291,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
50,por,17.998,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
42,por,18.659,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
53,por,17.194,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
56,por,14.728,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
49,por,13.372,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
47,por,11.098,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93
51,por,18.394,23.8,1,25,47.328,23.5,17.919,25.7,25.526,32.6,2.93