timepoint,coral_id,species,weight_g,temp_c,calibration,air_temp_c,air_weight_g,fresh_tmp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite
oneweek,46,acr,5.112,25.8,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,53,acr,4.845,25.8,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,52,acr,5.89,25.8,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,45,acr,5.414,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,57,acr,4.852,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,47,acr,5.317,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,51,acr,5.313,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,43,acr,5.222,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,50,acr,6.358,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,54,por,12.956,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,43,por,17.145,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,52,por,19.908,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,48,por,20.524,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,46,por,18.56,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,44,por,29.327,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,47,por,11.166,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,58,por,14.423,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,51,por,18.467,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,56,acr,4.831,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,54,acr,6.625,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,55,acr,6.305,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,48,acr,6.651,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,41,acr,5.275,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,42,acr,5.467,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,44,acr,5.798,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,58,acr,5.72,25.7,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,49,acr,4.835,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,49,por,13.73,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,57,por,13.396,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,45,por,14.154,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,56,por,14.994,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,50,por,18.037,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,42,por,18.685,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,53,por,17.385,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,55,por,20.217,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93
oneweek,41,por,12.197,25.6,1,25.4,47.325,24.1,26.192,25.8,25.609,33.3,2.93